session_id,label,sub_pattern,num_requests,session_duration_sec,mean_inter_request_time,std_inter_request_time,min_inter_request_time,unique_params_touched,param_reuse_rate,failed_request_rate,endpoint_diversity,user_agent_entropy,mouse_or_client_signal_present,discount_code_attempts,geo_ip_consistency,time_of_day_bucket
40018b30-3130-4b05-a3a5-93bf1c816aad,abusive,adv_promo_abuse,18,331.078,19.4752,36.8365,1.3193,7,0.1629,0.1228,2,0.1398,True,0,True,night
c9274ed4-e01e-4d84-9eb4-87ffa9003d7d,abusive,adv_scraper,46,755.003,16.7779,31.9867,0.0927,11,0.0282,0.0215,3,0.0044,True,0,True,morning
24a0083a-e0c5-4db4-a958-308b4e0dbe45,abusive,adv_card_testing,54,935.566,17.6522,44.2889,0.4124,6,0.0636,0.1069,1,0.0553,True,1,True,afternoon
90c91ebe-27a9-4035-a37c-34c380f63e13,abusive,adv_promo_abuse,10,134.285,14.9206,25.1778,1.1414,8,0.1502,0.1493,2,0.1796,True,1,True,afternoon
1c04b4cf-7de8-4e7e-91ef-d94b2b3c2465,abusive,adv_promo_abuse,29,461.26,16.4736,20.5806,0.4269,6,0.1874,0.0898,3,0.0309,True,1,True,night
012c51bb-96ba-4195-a391-0c6324b0f717,abusive,adv_promo_abuse,14,70.058,5.3891,6.1865,0.6998,7,0.0931,0.1202,2,0.1077,True,1,True,night
bbb9a3f0-9521-4150-92a0-62e7f16a3f90,abusive,adv_scraper,32,209.459,6.7567,9.6385,0.1382,9,0.0796,0.0238,3,0.0283,True,0,True,afternoon
af99d4a1-5b25-4dd6-85b1-fc0eecdb2db4,abusive,adv_scraper,43,526.805,12.543,33.7912,0.4394,6,0.006,0.0197,5,0.0254,True,1,False,morning
07bb79ef-5074-4921-83d3-1a67ca9901b7,abusive,adv_scraper,36,444.914,12.7118,11.7045,1.0061,9,0.0275,0.0917,4,0.0001,True,0,True,night
eaf8132b-34fe-468a-865f-e33e4ca32e1c,abusive,adv_card_testing,70,580.327,8.4105,11.1531,0.6267,7,0.1187,0.1493,2,0.093,True,0,True,afternoon
9f7ffbac-c7e3-4865-9a2e-244dd3c1c880,abusive,adv_card_testing,36,368.979,10.5423,8.2266,1.808,6,0.0554,0.0576,2,0.0974,True,1,True,morning
44a5c15e-edfb-48e4-abbe-54c13877f7f1,abusive,adv_card_testing,43,295.591,7.0379,16.798,0.0434,5,0.0637,0.1174,2,0.0979,True,1,True,afternoon
bd4a5fa4-aa06-4e12-88d2-a199be0cd8a4,abusive,adv_scraper,40,675.788,17.3279,23.1219,0.1705,14,0.1311,0.0096,4,0.0263,True,0,True,evening
5058bebf-5e8d-4d13-bf6e-1e16da13e4b8,abusive,adv_card_testing,53,858.672,16.5129,36.6669,0.7343,8,0.1474,0.1657,1,0.0844,True,1,True,night
0a384154-cf5e-4002-b268-2a30306724b4,abusive,adv_card_testing,55,694.373,12.8588,16.7656,0.5755,6,0.1951,0.0794,1,0.0887,True,1,True,afternoon
3807eaa8-1e65-4438-a893-c7e8fd1e545e,abusive,adv_scraper,46,650.287,14.4508,22.0745,0.1084,9,0.0238,0.0527,6,0.0069,True,0,True,afternoon
7aa60724-27bb-481b-b0fd-55413d187edb,abusive,adv_scraper,63,329.239,5.3103,7.0541,0.0561,5,0.0538,0.0382,6,0.0073,True,0,True,morning
32c7cca7-e957-4e40-b184-a5dd33612094,abusive,adv_promo_abuse,20,396.342,20.8601,23.4823,2.2976,5,0.0571,0.0584,3,0.158,True,0,True,morning
f52ec91c-3309-4ef9-b78e-2659851135b0,abusive,adv_promo_abuse,11,66.9,6.69,5.2419,1.3571,13,0.0939,0.0863,4,0.1309,True,0,False,evening
6a389213-606c-4c4b-874c-8ccba5353ea4,abusive,adv_card_testing,51,461.105,9.2221,10.8611,0.5323,8,0.1898,0.1019,2,0.0581,True,0,False,evening
8175ad6b-12ba-4f8f-848e-557fce4b167f,abusive,adv_card_testing,56,841.61,15.302,14.7034,0.4061,10,0.118,0.0646,1,0.0101,True,1,False,afternoon
0d8edb5e-2f76-4551-a660-013492656b41,abusive,adv_card_testing,55,397.538,7.3618,5.7401,0.1477,4,0.1283,0.0667,2,0.0881,True,1,True,afternoon
7085e163-7ab6-446d-be83-9f1f037e6624,abusive,adv_scraper,41,393.517,9.8379,11.1759,0.7286,11,0.0031,0.1138,4,0.0283,True,1,False,evening
fac7bbea-9bd8-4d29-8a22-5ae525d41188,abusive,adv_card_testing,35,846.572,24.8992,36.5575,0.5617,8,0.0743,0.1303,2,0.0222,True,1,True,morning
25612686-1e14-4e11-b0fd-10978ffbbe36,abusive,adv_promo_abuse,14,293.2,22.5538,25.4227,1.1887,8,0.1769,0.1362,4,0.1526,True,1,True,afternoon
d8f77634-9f64-41a5-b4d0-ce69de59edc8,abusive,adv_scraper,61,785.081,13.0847,17.5157,0.7203,5,0.0874,0.0497,4,0.0041,True,0,True,morning
f447cc19-03aa-44b7-9e2b-78ebc7cb7b06,abusive,adv_promo_abuse,36,659.903,18.8544,24.3416,1.123,7,0.1558,0.0605,3,0.1403,True,1,False,morning
fb57dac2-37a8-408b-a498-358f628e8487,abusive,adv_card_testing,68,991.907,14.8046,15.9927,0.8488,4,0.0702,0.0885,2,0.0231,True,0,False,evening
d6e221e2-d775-476e-aeee-2d0e7d463eae,abusive,adv_promo_abuse,21,149.324,7.4662,7.5898,0.8589,14,0.0686,0.1164,4,0.179,True,1,True,afternoon
8d22044f-74c4-4070-a7d3-881127c13ee9,abusive,adv_card_testing,42,485.384,11.8386,27.2598,0.1689,7,0.0868,0.1673,2,0.0875,True,0,True,afternoon
bb3fb63b-0d45-440c-9ebd-818f40668d3c,abusive,adv_scraper,33,462.864,14.4645,28.0307,0.2885,6,0.005,0.0615,6,0.005,True,0,True,afternoon
d8d2eb17-b3b9-40ea-8568-9861d41348fa,abusive,adv_scraper,56,406.425,7.3895,12.4977,0.0937,13,0.1356,0.0315,5,0.0243,True,1,True,morning
d0f4835a-4802-40ff-94d6-9cdfa3c172ca,abusive,adv_scraper,26,223.274,8.931,19.501,0.7424,14,0.0384,0.113,3,0.013,True,1,True,evening
ed7b1036-8c3e-454c-b6c3-297c98898927,abusive,adv_promo_abuse,26,496.139,19.8456,23.6691,1.1084,11,0.1614,0.0592,4,0.0247,True,1,True,morning
85f0ce92-7a27-40db-a311-a88cf100d2c0,abusive,adv_promo_abuse,12,250.68,22.789,13.9787,7.8093,8,0.0947,0.0835,2,0.0909,True,1,True,evening
375174db-1d72-4873-887c-5679017fc60c,abusive,adv_scraper,35,505.983,14.8818,22.0663,0.4775,13,0.1376,0.1021,3,0.007,True,0,True,night
fa3dc028-c2b0-4755-9287-28bc971e691f,abusive,adv_card_testing,46,499.745,11.1054,13.4058,0.4684,4,0.2146,0.1574,2,0.0441,True,1,True,evening
6eb6b30b-9094-40bd-97f7-9bbd3af3b652,abusive,adv_scraper,49,843.338,17.5695,25.52,0.4529,13,0.0226,0.0809,5,0.0222,True,1,True,afternoon
c0d80c2e-a9b0-49cc-8d32-0a2e873467ad,abusive,adv_promo_abuse,39,214.719,5.6505,4.3537,0.5543,14,0.0654,0.1376,3,0.054,True,1,True,evening
e230a6af-4aa6-4afc-becf-f2f55c639eb8,abusive,adv_card_testing,42,447.136,10.9057,15.0821,0.3398,5,0.168,0.1754,1,0.0811,True,1,True,afternoon
