session_id,label,sub_pattern,num_requests,session_duration_sec,mean_inter_request_time,std_inter_request_time,min_inter_request_time,unique_params_touched,param_reuse_rate,failed_request_rate,endpoint_diversity,user_agent_entropy,mouse_or_client_signal_present,discount_code_attempts,geo_ip_consistency,time_of_day_bucket
1a17ac0d-72de-4443-8786-11bfdd0678dc,normal,power_user,27,71.313,2.7428,2.3245,0.3378,13,0.0527,0.1719,3,0.0816,True,3,True,morning
f6b1a0c1-e765-41c4-b823-9e67ec1d16a3,normal,ai_shopping_agent,43,195.401,4.6524,3.1951,1.0141,12,0.243,0.2025,5,0.0639,True,0,True,evening
3364f188-4f0c-418b-9b30-d1f8ff69ae19,normal,ai_shopping_agent,35,153.683,4.5201,2.2662,1.4316,14,0.2157,0.2177,3,0.1404,True,3,True,night
28309087-2d94-4e94-a003-5ac5d8555c08,normal,ai_shopping_agent,27,66.078,2.5414,1.5449,1.04,16,0.0926,0.1451,2,0.097,True,3,True,evening
9b839acd-46d3-405d-aba1-a65ee770a666,normal,regular,8,102.34,14.62,11.1146,1.8412,2,0.0596,0.1089,3,0.1491,False,2,True,evening
43380a06-6de0-4476-9a76-ccfcc038c41c,normal,ai_shopping_agent,31,110.824,3.6941,2.0848,1.085,6,0.1114,0.1885,2,0.0584,True,0,True,afternoon
39672c3d-f859-4355-b334-e01edc7258d9,normal,ai_shopping_agent,17,47.495,2.9684,1.5578,0.7976,14,0.2345,0.1068,3,0.1373,False,0,True,evening
087ca681-9b54-4392-aab9-23f140b7fc9a,normal,power_user,26,145.808,5.8323,7.0304,0.2048,6,0.0333,0.138,3,0.0666,True,3,True,morning
2357f9fe-eea5-424b-8e51-39d129d1ba27,abusive,scraper,174,460.203,2.6601,1.2754,0.8002,28,0.1234,0.0381,6,0.051,False,2,True,night
ce6fa84d-350a-483b-8111-94684b554871,normal,regular,8,186.439,26.6341,19.8524,12.3798,10,0.017,0.1104,2,0.054,True,1,True,night
4377e58c-3fea-493f-897b-44e493e41c5c,abusive,card_testing,37,69.42,1.9283,1.0681,0.5629,8,0.6362,0.7713,1,0.0419,True,3,True,morning
a0bc90a1-be6b-4ced-b4fc-c3ff96e7f1fd,normal,regular,8,192.123,27.4461,29.4986,3.3294,8,0.012,0.0493,4,0.1015,True,2,True,night
89b396e2-022c-4052-8583-9f1a31fcfb67,normal,ai_shopping_agent,35,179.789,5.2879,3.1808,2.0816,4,0.2505,0.0421,3,0.0353,False,2,True,evening
a22cbab8-cf6e-49f0-b0ea-68728002cb26,abusive,promo_abuse,14,35.676,2.7443,1.1313,1.1478,15,0.1513,0.2487,3,0.032,False,10,True,morning
de6143cb-a3a2-4154-9ef3-bf70d3d929c7,abusive,promo_abuse,35,88.795,2.6116,1.1423,1.0423,10,0.4467,0.1157,5,0.1828,False,15,False,afternoon
027a834d-404f-432e-8996-5256ba1b6810,abusive,scraper,152,390.827,2.5883,1.4171,0.8066,72,0.1244,0.054,4,0.0084,False,2,False,night
81978807-113c-400f-a793-e5b20aacbfe8,normal,regular,8,46.437,6.6339,5.9792,0.7993,3,0.0455,0.0421,3,0.0375,True,2,False,night
12206082-3bf4-4f30-9bc9-04a9aa97b6c6,abusive,scraper,69,168.759,2.4817,1.2018,0.8716,53,0.235,0.0364,4,0.02,False,0,True,morning
50463ddf-b192-42fc-89b0-dcd6bf366cf8,abusive,card_testing,272,537.484,1.9833,1.0187,0.5017,5,0.3513,0.6287,2,0.0339,False,0,False,night
61c7518f-04f8-4686-9f6d-da32a6e3e8e7,normal,regular,11,65.548,6.5548,6.0563,1.7654,8,0.1038,0.026,4,0.0855,True,0,True,afternoon
f902adc7-00c3-4ddf-81fc-1e176f4e4d5b,normal,power_user,23,118.829,5.4013,3.9547,0.6707,9,0.0496,0.1245,5,0.0479,True,2,True,morning
9c07e7cb-9990-40d4-8431-61a14a8b159f,normal,regular,15,263.957,18.8541,18.9877,1.1827,8,0.1446,0.0562,5,0.0304,True,1,False,afternoon
5afbff1e-8296-46f2-aadd-b7a727f336b8,normal,regular,4,20.233,6.7443,2.9348,2.7552,7,0.0513,0.0832,3,0.1363,True,1,True,afternoon
bc93d89c-449d-43f6-8f25-4beadd776e50,normal,power_user,24,164.436,7.1494,5.1351,1.3033,3,0.143,0.1711,4,0.1041,False,1,True,evening
28112073-a48a-4b92-b9a0-045a89c47dbe,normal,regular,11,127.339,12.7339,11.4046,2.8969,2,0.0657,0.1045,2,0.0229,True,1,True,morning
e674db18-3e83-4425-9cad-ac1e0d40b9de,normal,regular,8,92.522,13.2174,9.527,2.2102,4,0.1291,0.0853,5,0.1441,True,2,True,morning
109db474-058a-46f4-82cc-79cb3aa628b3,normal,regular,3,42.367,21.1833,11.5608,9.6224,8,0.0463,0.051,2,0.0384,True,0,True,morning
564c3e0e-ad0c-41ea-b9d9-b915b85e5925,abusive,promo_abuse,34,88.158,2.6715,1.5055,1.0119,26,0.1403,0.1321,3,0.1512,True,17,True,afternoon
3982776f-ad6c-4652-ac25-44c856be7d3c,abusive,scraper,66,194.281,2.6868,8.2174,0.8111,36,0.0698,0.0146,3,0.0163,True,0,True,night
7ad18119-6a3e-4744-bdf4-538f1ac07c83,abusive,promo_abuse,25,59.541,2.4809,1.2878,1.0221,8,0.4396,0.297,3,0.1509,False,13,True,morning
973c47b3-bbac-4c5e-b44d-47b2fe323827,normal,regular,13,221.336,18.4446,22.621,3.8205,4,0.0335,0.1158,5,0.0851,True,1,True,evening
3ebb4455-0749-46b9-950d-46e211f8ab70,normal,regular,15,120.747,8.6248,4.8334,2.0388,2,0.1478,0.1188,4,0.092,True,1,True,afternoon
6abe2555-7660-4327-b736-bda622679eb1,normal,ai_shopping_agent,21,75.958,3.7979,3.2796,0.5219,16,0.2009,0.0408,5,0.1451,True,3,True,morning
df00cd2a-c5be-46b4-9dfe-4e20197933e1,normal,regular,8,67.751,9.6787,6.9806,0.9149,6,0.1146,0.089,3,0.1185,True,0,True,evening
91712ca8-a896-4da3-b65f-dec760152079,normal,regular,13,267.57,22.2975,28.7234,2.8818,10,0.1052,0.12,2,0.1111,True,1,True,evening
8de6c2a3-0e09-4eee-82c5-8dee8fffa330,normal,regular,7,23.535,3.9225,3.1551,0.816,3,0.0951,0.1109,2,0.1426,True,0,True,evening
94b529ad-4878-4a8b-9cf1-8b87428686bd,normal,ai_shopping_agent,24,91.45,3.9761,1.7393,1.5463,5,0.2724,0.1478,3,0.0242,True,1,True,night
58c5433e-8df2-4279-81b0-41eab91ae1ea,normal,power_user,32,149.072,4.8088,4.9955,0.7534,8,0.1226,0.0105,2,0.0344,True,2,True,afternoon
f0b112c4-b487-48ac-9d0f-62af8a6c5847,abusive,scraper,107,275.2,2.5962,1.1556,0.8207,69,0.1369,0.1979,4,0.0157,False,2,True,afternoon
52a65eb2-bf47-493e-8516-9327e240bf40,normal,regular,13,177.257,14.7714,15.7135,2.2999,7,0.1309,0.0861,3,0.1455,True,1,True,night
de02e3a8-c5ed-416a-8061-1578d531a26f,normal,regular,12,148.293,13.4812,6.6903,5.8145,2,0.0699,0.1406,4,0.0838,True,1,True,evening
da0825b3-9113-4e4b-83cf-aef35addf9b2,normal,regular,9,127.468,15.9334,15.0462,4.2701,3,0.0681,0.0908,3,0.0759,True,2,True,night
1505d866-90ba-4b08-ada0-94057e3b50bc,normal,regular,16,206.387,13.7591,10.8247,1.7002,2,0.1127,0.0481,3,0.0916,True,1,True,afternoon
64c4cd33-40b6-4db5-9446-f1accb5c0352,abusive,promo_abuse,20,58.364,3.0718,1.1327,1.1978,18,0.3129,0.1626,5,0.1882,False,9,True,afternoon
1cf69386-383d-4551-97a8-d78f6b14b5cb,normal,regular,9,220.443,27.5554,19.5859,7.6281,4,0.0514,0.1352,5,0.0225,True,0,True,afternoon
b52b74d8-fda5-468a-a3f4-2013ac4a7b15,normal,regular,4,19.868,6.6227,2.0925,3.7203,10,0.0489,0.0414,5,0.0346,True,0,True,morning
2eb3566e-acca-49e8-800c-5bc70ca4a2f1,abusive,promo_abuse,8,23.577,3.3682,1.15,1.5207,23,0.3381,0.3057,3,0.0999,True,3,True,evening
fc7fd1d9-ba22-43c1-ab95-8e73109a3612,normal,ai_shopping_agent,41,151.534,3.7883,1.6995,0.873,9,0.2116,0.0859,3,0.0475,True,3,True,evening
e132755b-def4-45fa-9e4c-29101d6b5842,normal,regular,4,26.572,8.8572,7.7523,2.4276,10,0.1187,0.0767,5,0.0257,False,1,True,evening
984e36d9-8aa8-44f7-a53d-c38a93259e7d,abusive,scraper,57,144.727,2.5844,1.2871,0.8219,62,0.2439,0.1292,5,0.067,True,1,True,morning
49ef27bb-da66-4b5b-a9d9-d30dc0f52a7f,normal,power_user,20,108.105,5.6898,5.1345,0.4597,12,0.1052,0.1145,2,0.0879,True,3,True,afternoon
f71dae63-7984-4ce8-8991-e5e06941a414,abusive,scraper,144,390.34,2.7296,1.3921,0.8311,49,0.1935,0.1362,5,0.0389,True,1,True,morning
f8963d94-19b2-49a3-b5ef-105e04bda716,normal,regular,11,130.379,13.0379,9.7698,2.833,9,0.0135,0.0349,2,0.0631,True,2,True,afternoon
18cca1d8-caca-4f12-a92f-8366bca4fd27,normal,power_user,26,163.366,6.5347,9.3699,0.4882,8,0.1581,0.0195,5,0.0817,True,0,True,evening
868c7f44-e142-497f-9438-8c1de051b347,normal,regular,10,173.853,19.3169,30.2532,1.7346,3,0.0109,0.0687,3,0.0858,False,0,True,evening
a6d3da26-4663-4739-91fd-c9cfedc6a61e,normal,regular,15,190.92,13.6371,19.0651,0.914,2,0.0372,0.0239,5,0.0489,True,1,True,night
d3da3664-8b8e-4bea-9d24-e2c4566eb406,normal,ai_shopping_agent,42,135.72,3.3102,2.0475,1.0227,6,0.1239,0.2018,4,0.114,True,3,True,night
80f145ff-0b59-4ee1-aaf7-b1b5b47c6365,normal,regular,9,50.826,6.3532,2.9692,2.2114,10,0.1083,0.108,2,0.1332,False,0,True,afternoon
c1601998-89d7-4d50-be5c-0f7789bfb8e7,normal,regular,6,288.584,57.7169,80.8292,1.1488,4,0.0526,0.1066,3,0.1258,True,0,True,evening
e5818ab4-c9e2-467c-a3a8-9401ef8b572e,abusive,card_testing,230,453.729,1.9813,0.9935,0.5044,7,0.5555,0.6126,1,0.0873,False,2,True,afternoon
30a8dc68-c86d-4eb8-b94c-c9808d889f9d,normal,regular,12,121.538,11.0489,7.024,3.726,8,0.1145,0.0132,5,0.0758,True,2,True,morning
057d5401-02ef-46aa-a973-b7f497d808d4,normal,regular,10,42.795,4.755,3.7983,1.4588,10,0.0511,0.132,2,0.0872,True,1,True,afternoon
5d3204f0-bc8f-43be-8aa1-6e2fabc98619,normal,power_user,25,169.61,7.0671,8.8941,0.7298,6,0.1657,0.0274,2,0.0743,True,1,True,morning
9f976db0-4022-4934-8a3c-f126bd7e54ca,normal,regular,8,65.785,9.3979,4.5824,1.9624,4,0.0443,0.1381,4,0.0605,True,2,True,afternoon
43d71164-735f-425f-94e7-01ba2a951aab,normal,ai_shopping_agent,20,70.177,3.6935,1.9763,1.4283,11,0.1535,0.06,4,0.0932,False,3,True,night
a1a1e846-c287-4267-9c5e-8aac1e73ed74,normal,ai_shopping_agent,34,124.839,3.783,2.6864,0.9273,10,0.1395,0.1426,3,0.0433,False,1,True,night
86cf1c8a-7204-4c8f-bdab-04a62c9aeced,normal,ai_shopping_agent,17,95.06,5.9413,8.3142,0.4792,4,0.1555,0.198,5,0.0271,False,1,True,night
77714e46-81de-491e-bc7c-6645d39f38fd,abusive,scraper,50,122.654,2.5031,1.2187,0.8264,60,0.2184,0.0903,5,0.0152,True,1,True,night
91f0845a-dce9-48a5-bb93-2d1694e8d2ae,normal,regular,14,121.3,9.3307,11.0229,1.1606,9,0.0828,0.014,2,0.1042,False,0,True,evening
2b3d06a2-c09b-4996-b6c0-6c68453b9b96,normal,power_user,16,115.946,7.7297,4.9301,2.2203,12,0.0967,0.063,4,0.0424,True,3,True,morning
36bc5c28-9593-4aac-bb40-ece89b3123a0,normal,regular,5,47.082,11.7706,4.0338,5.9817,5,0.1248,0.138,5,0.0966,True,0,True,night
dcf47c8f-4405-49f6-8e9c-7b8eb5595cf8,normal,regular,16,202.618,13.5079,15.4227,1.2451,5,0.0972,0.0265,4,0.1105,True,1,True,evening
bd590c75-e92e-4502-9568-3a37467c49a4,normal,power_user,12,58.353,5.3048,3.1853,1.6957,12,0.0619,0.115,5,0.0311,False,2,True,evening
913d50e5-10f5-4537-a078-f488687111d9,normal,ai_shopping_agent,23,114.706,5.2139,2.6893,1.6251,14,0.1831,0.0877,5,0.0519,False,1,True,night
b2510912-11b1-488e-bbf0-0ef67b2aeb3b,normal,regular,16,122.466,8.1644,9.0869,1.3147,6,0.0837,0.0441,3,0.1431,True,2,True,morning
1e9c116a-69a7-49be-bed9-4c37f3ad7ac5,normal,regular,7,71.475,11.9125,12.3661,1.7443,5,0.0392,0.1067,3,0.0872,True,1,True,morning
a8fdc7c9-de0d-4691-b1b2-0c9273ef2e53,normal,ai_shopping_agent,12,45.952,4.1774,1.514,2.15,12,0.1626,0.1991,2,0.1223,False,3,True,morning
